tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,match_title,join_key,averageRating,numVotes
tt0116313,movie,The First Wives Club,The First Wives Club,0,1996,103,Comedy,The First Wives Club,thefirstwivesclub|1996,6.5,60360.0
tt0116778,movie,Kingpin,Kingpin,0,1996,114,"Comedy,Sport",Kingpin,kingpin|1996,6.9,96840.0
tt0116996,movie,Mars Attacks!,Mars Attacks!,0,1996,106,"Comedy,Sci-Fi",Mars Attacks!,marsattacks|1996,6.4,259064.0
tt0117011,movie,Maximum Risk,Maximum Risk,0,1996,101,"Action,Crime,Thriller",Maximum Risk,maximumrisk|1996,5.6,25893.0
tt0117057,movie,The Mirror Has Two Faces,The Mirror Has Two Faces,0,1996,126,"Comedy,Drama,Romance",The Mirror Has Two Faces,themirrorhastwofaces|1996,6.7,25600.0
tt0117218,movie,The Nutty Professor,The Nutty Professor,0,1996,95,"Comedy,Romance,Sci-Fi",The Nutty Professor,thenuttyprofessor|1996,5.7,131215.0
tt0117381,movie,Primal Fear,Primal Fear,0,1996,129,"Crime,Drama,Mystery",Primal Fear,primalfear|1996,7.7,287965.0
tt0117437,movie,Raja Hindustani,Raja Hindustani,0,1996,177,"Action,Comedy,Drama",Raja Hindustani,rajahindustani|1996,6.1,9272.0
tt0117666,movie,Sling Blade,Sling Blade,0,1996,135,Drama,Sling Blade,slingblade|1996,8.0,104118.0
tt0117765,movie,Striptease,Striptease,0,1996,115,"Comedy,Crime,Drama",Striptease,striptease|1996,4.6,51663.0
tt0117951,movie,Trainspotting,Trainspotting,0,1996,93,"Crime,Drama",Trainspotting,trainspotting|1996,8.1,769266.0
tt0117965,movie,The Trigger Effect,The Trigger Effect,0,1996,94,"Drama,Thriller",The Trigger Effect,thetriggereffect|1996,5.7,7197.0
